SrNO	IRI_agency	IRI_vendor
1	1.6	1.4
2	6.4	6.5
3	8	7.9
4	3.2	3.3
5	4.1	4.4
6	3.4	3.7
7	3.4	3.6
8	2.2	2.6
9	5	5
10	2.4	4.6
11	4.6	2.6
12	5.6	5.4
13	4.1	4.1
14	2	2
15	3.1	3.4
16	4.6	4.6
17	2.8	3.1
18	4.9	5.1
19	5	5.1
